Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleType,SaleCondition,SalePrice
310,20,RL,90.0,12378,IR1,Inside,NridgHt,1Fam,1Story,9,5,2003,2004,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,GLQ,1274,622,1896,Ex,1944,0,1944,1,2,0,3,Ex,8,3,Attchd,2003.0,Fin,3,708,208,175,11,2006,WD,Normal,360000
312,20,RL,50.0,8000,Reg,Inside,NAmes,1Fam,1Story,6,6,1948,2002,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,No,ALQ,680,292,972,Ex,972,0,972,1,1,0,2,TA,5,1,Detchd,1948.0,Unf,1,240,0,0,5,2009,WD,Normal,132000
313,190,RM,65.0,7800,Reg,Inside,OldTown,2fmCon,1.5Fin,5,7,1939,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,Mn,Rec,507,286,793,TA,793,325,1118,1,1,0,3,TA,5,1,Detchd,1939.0,Unf,2,410,0,0,5,2006,WD,Normal,119900
314,20,RL,150.0,215245,IR3,Inside,Timber,1Fam,1Story,7,5,1965,1965,Hip,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,Gd,Gd,ALQ,1236,80,2136,TA,2036,0,2036,2,2,0,3,TA,8,2,Attchd,1965.0,RFn,2,513,0,0,6,2009,WD,Normal,375000
315,70,RM,60.0,9600,Reg,Inside,OldTown,1Fam,2Story,7,7,1925,1990,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,No,LwQ,16,712,728,Ex,832,809,1641,0,1,1,3,Ex,6,1,Detchd,1925.0,Unf,2,546,0,0,8,2006,WD,Normal,178000
316,60,RL,71.0,7795,IR1,Inside,Gilbert,1Fam,2Story,7,5,2004,2005,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,No,GLQ,425,291,716,Ex,716,716,1432,1,2,1,3,Gd,6,1,Attchd,2004.0,Fin,2,432,100,51,7,2009,WD,Normal,188500
317,60,RL,94.0,13005,IR1,Corner,NWAmes,1Fam,2Story,7,7,1980,1980,Gable,CemntBd,CmentBd,BrkFace,278.0,Gd,TA,CBlock,Gd,No,GLQ,692,153,845,TA,1153,1200,2353,1,2,1,4,Ex,10,1,Attchd,1983.0,RFn,2,484,288,195,8,2009,WD,Normal,260000
318,60,FV,75.0,9000,Reg,Inside,Somerst,1Fam,2Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Av,Unf,0,1088,1088,Ex,1088,871,1959,0,2,1,3,Gd,8,1,Attchd,2006.0,RFn,3,1025,208,46,12,2007,WD,Normal,270000
319,60,RL,90.0,9900,Reg,Inside,NoRidge,1Fam,2Story,7,5,1993,1993,Gable,HdBoard,HdBoard,BrkFace,256.0,Gd,TA,PConc,Gd,Gd,GLQ,987,360,1347,Ex,1372,1274,2646,1,2,1,4,Gd,9,1,Attchd,1993.0,RFn,3,656,340,60,4,2009,WD,Normal,260000
321,60,RL,111.0,16259,Reg,Corner,NridgHt,1Fam,2Story,9,5,2006,2006,Gable,VinylSd,VinylSd,Stone,370.0,TA,TA,PConc,Ex,Av,Unf,0,1249,1249,Ex,1249,1347,2596,0,3,1,4,Gd,9,0,Attchd,2006.0,RFn,3,840,240,154,9,2006,New,Partial,342643
322,60,RL,99.0,12099,IR1,Inside,NridgHt,1Fam,2Story,8,5,2004,2004,Gable,VinylSd,VinylSd,BrkFace,388.0,Gd,TA,PConc,Ex,Av,GLQ,970,166,1136,Ex,1136,1332,2468,1,2,1,4,Gd,10,1,BuiltIn,2004.0,Fin,3,872,184,154,6,2007,WD,Normal,354000
323,60,RL,86.0,10380,IR1,Inside,SawyerW,1Fam,2Story,7,5,1986,1987,Gable,Plywood,Plywood,BrkFace,172.0,Gd,TA,CBlock,TA,Gd,LwQ,28,0,1502,Ex,1553,1177,2730,1,2,1,4,Gd,8,1,Attchd,1987.0,Fin,2,576,201,96,8,2007,WD,Normal,301000
324,20,RM,49.0,5820,Reg,Inside,OldTown,1Fam,1Story,3,8,1955,2005,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,No,ALQ,256,906,1162,Ex,1163,0,1163,1,1,0,3,TA,6,0,Attchd,1955.0,Unf,1,220,142,98,7,2006,WD,Normal,126175
325,80,RL,96.0,11275,Reg,Corner,NAmes,1Fam,SLvl,7,7,1967,2007,Mansard,Wd Sdng,Wd Sdng,BrkFace,300.0,Gd,Gd,CBlock,Gd,No,Unf,0,710,710,Ex,1898,1080,2978,0,2,1,5,Gd,11,1,BuiltIn,1961.0,Fin,2,564,240,0,6,2010,WD,Normal,242000
326,45,RM,50.0,5000,Reg,Inside,IDOTRR,1Fam,1.5Unf,5,6,1941,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,Av,BLQ,116,604,720,Po,803,0,803,0,1,0,2,TA,5,0,Detchd,1941.0,Unf,2,360,0,0,12,2007,WD,Normal,87000
327,120,RL,32.0,10846,IR1,CulDSac,Veenker,TwnhsE,1Story,8,5,1993,1993,Gable,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,Gd,GLQ,1619,100,1719,Ex,1719,0,1719,2,1,1,1,Gd,6,2,Attchd,1993.0,Fin,2,473,122,30,5,2008,Con,Normal,324000
328,20,RL,80.0,11600,Reg,Inside,NAmes,1Fam,1Story,6,5,1960,1960,Hip,Wd Sdng,Wd Sdng,BrkFace,175.0,TA,TA,CBlock,TA,No,Rec,565,818,1383,TA,1383,0,1383,0,1,1,3,TA,7,0,Attchd,1960.0,RFn,1,292,0,45,4,2006,WD,Normal,145250
330,70,RM,60.0,6402,Reg,Corner,IDOTRR,1Fam,2Story,5,5,1920,1950,Gable,Wd Sdng,Wd Shng,None,0.0,TA,TA,PConc,TA,Mn,Unf,0,596,596,TA,596,596,1192,0,1,0,3,TA,6,0,Detchd,1920.0,Unf,1,189,0,0,7,2009,WD,Normal,78000
332,20,RL,70.0,8176,Reg,Inside,NAmes,1Fam,1Story,5,6,1958,1992,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,No,Rec,846,210,1056,Fa,1056,0,1056,1,1,0,3,TA,6,0,Attchd,1958.0,RFn,1,308,0,0,8,2007,WD,Normal,139000
333,20,RL,85.0,10655,IR1,Inside,NridgHt,1Fam,1Story,8,5,2003,2004,Gable,VinylSd,VinylSd,BrkFace,296.0,Gd,TA,PConc,Gd,No,GLQ,1124,1603,3206,Ex,1629,0,1629,1,2,0,3,Gd,7,1,Attchd,2003.0,RFn,3,880,0,0,10,2009,WD,Normal,284000
334,120,RM,59.0,8198,Reg,FR3,NridgHt,TwnhsE,1Story,7,5,2004,2004,Gable,VinylSd,VinylSd,Stone,146.0,Gd,TA,PConc,Gd,Av,GLQ,720,638,1358,Ex,1358,0,1358,1,2,0,2,Gd,6,1,Attchd,2004.0,RFn,2,484,192,30,7,2008,WD,Normal,207000
335,60,RL,59.0,9042,IR1,Inside,Gilbert,1Fam,2Story,6,5,1998,1998,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,Gd,GLQ,828,115,943,Gd,943,695,1638,1,2,1,3,TA,7,2,Attchd,1998.0,Fin,2,472,100,38,7,2008,WD,Normal,192000
337,20,RL,86.0,14157,IR1,Corner,StoneBr,1Fam,1Story,9,5,2005,2006,Hip,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,Gd,GLQ,1249,673,1922,Ex,1922,0,1922,1,2,0,3,Gd,8,1,Attchd,2005.0,Fin,3,676,178,51,7,2007,WD,Normal,377426
338,20,RL,70.0,9135,Reg,Inside,CollgCr,1Fam,1Story,7,5,2002,2003,Gable,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,Av,GLQ,810,726,1536,Ex,1536,0,1536,1,2,0,3,Gd,7,0,Attchd,2002.0,RFn,2,532,192,74,12,2008,WD,Normal,214000
339,20,RL,91.0,14145,Reg,Corner,NWAmes,1Fam,1Story,7,7,1984,1998,Gable,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,CBlock,Gd,Mn,ALQ,213,995,1208,Ex,1621,0,1621,1,2,0,3,Gd,8,0,Attchd,1984.0,RFn,2,440,108,45,5,2006,WD,Normal,202500
340,20,RL,66.0,12400,IR1,Inside,NAmes,1Fam,1Story,6,7,1958,1998,Hip,Wd Sdng,Wd Sdng,BrkFace,176.0,TA,TA,CBlock,TA,No,Rec,585,630,1215,TA,1215,0,1215,0,1,0,3,TA,6,0,Attchd,1958.0,Unf,1,297,0,0,6,2009,WD,Normal,155000
341,60,RL,85.0,14191,Reg,Inside,Timber,1Fam,2Story,8,5,2002,2002,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,No,Unf,0,967,967,Ex,993,915,1908,0,2,1,4,Gd,9,0,Attchd,2002.0,Fin,2,431,135,0,4,2010,WD,Normal,202900
342,20,RH,60.0,8400,Reg,Inside,SawyerW,1Fam,1Story,4,4,1950,1950,Gable,Wd Sdng,AsbShng,None,0.0,Fa,Fa,CBlock,TA,No,Unf,0,721,721,Gd,841,0,841,0,1,0,2,TA,4,0,CarPort,1950.0,Unf,1,294,250,0,9,2009,WD,Normal,82000
344,120,RL,63.0,8849,IR1,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,616.0,Ex,TA,PConc,Ex,No,GLQ,28,1656,1684,Ex,1684,0,1684,0,2,0,2,Ex,6,1,Attchd,2005.0,RFn,2,564,495,72,7,2008,WD,Normal,266000
345,160,RM,36.0,2592,Reg,Inside,MeadowV,TwnhsE,2Story,5,3,1976,1976,Gable,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,Gd,No,Rec,129,175,536,TA,536,576,1112,0,1,1,3,TA,4,0,Attchd,1976.0,Unf,1,336,182,0,4,2010,WD,Normal,85000
346,50,RL,65.0,6435,Reg,Inside,BrkSide,1Fam,1.5Fin,6,5,1939,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,972,972,Gd,972,605,1577,0,1,0,3,Fa,6,1,Detchd,1939.0,Unf,1,312,0,0,10,2006,WD,Normal,140200
349,160,RL,36.0,2448,Reg,Inside,NridgHt,Twnhs,2Story,7,5,2003,2004,Gable,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,No,GLQ,573,191,764,Ex,764,862,1626,1,2,1,2,Gd,6,0,BuiltIn,2003.0,RFn,2,474,0,27,10,2008,WD,Normal,154000
350,60,RL,56.0,20431,IR2,Inside,NridgHt,1Fam,2Story,9,5,2005,2006,Hip,CemntBd,CmentBd,BrkFace,870.0,Ex,TA,PConc,Ex,No,GLQ,1410,438,1848,Ex,1848,880,2728,1,2,1,4,Ex,10,2,Attchd,2006.0,Fin,3,706,0,0,4,2006,New,Partial,437154
351,120,RL,68.0,7820,IR1,Inside,NridgHt,TwnhsE,1Story,9,5,2007,2007,Hip,MetalSd,MetalSd,BrkFace,362.0,Ex,TA,PConc,Ex,No,Unf,0,1869,1869,Ex,1869,0,1869,0,2,0,2,Ex,6,1,Attchd,2007.0,RFn,2,617,210,54,12,2007,New,Partial,318061
353,50,RL,60.0,9084,Reg,Inside,Edwards,1Fam,1.5Fin,5,6,1941,1950,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,Mn,LwQ,236,0,616,TA,616,495,1111,0,1,0,3,TA,5,0,Detchd,1941.0,Unf,1,200,48,0,3,2008,ConLw,Normal,95000
354,30,RM,60.0,8520,Reg,Inside,OldTown,1Fam,1Story,6,8,1928,2003,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,BrkTil,TA,No,Unf,0,624,624,Gd,720,0,720,0,1,0,2,TA,5,0,Detchd,2005.0,Unf,2,484,106,0,5,2010,WD,Normal,105900
355,50,RL,60.0,8400,Reg,Inside,SWISU,1Fam,1.5Fin,6,5,1940,2000,Gable,Wd Sdng,MetalSd,None,0.0,TA,TA,CBlock,TA,No,LwQ,388,552,940,Ex,1192,403,1595,0,1,0,2,TA,6,2,Attchd,1940.0,Unf,1,240,0,0,6,2006,WD,Normal,140000
356,20,RL,105.0,11249,IR2,Inside,CollgCr,1Fam,1Story,6,5,1995,1995,Gable,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,Gd,No,ALQ,334,322,1200,Ex,1200,0,1200,1,2,0,3,Gd,6,0,Attchd,1995.0,RFn,2,521,0,26,8,2007,WD,Normal,177500
358,120,RM,44.0,4224,Reg,Inside,MeadowV,TwnhsE,1Story,5,5,1976,1976,Gable,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,No,ALQ,874,268,1142,TA,1142,0,1142,1,1,1,3,TA,6,1,Attchd,1976.0,Fin,2,528,536,90,8,2007,WD,Normal,134000
359,80,RL,92.0,6930,IR1,Inside,ClearCr,1Fam,SLvl,5,4,1958,1958,Hip,Wd Sdng,ImStucc,BrkFace,120.0,TA,TA,CBlock,TA,Av,BLQ,300,468,1062,Ex,1352,0,1352,0,1,0,3,Gd,6,0,BuiltIn,1958.0,Unf,1,288,168,0,7,2006,WD,Abnorml,130000
360,60,RL,78.0,12011,IR1,CulDSac,NoRidge,1Fam,2Story,8,5,1998,1998,Gable,VinylSd,VinylSd,BrkFace,530.0,Gd,TA,PConc,Gd,Av,GLQ,956,130,1086,Ex,1086,838,1924,1,2,1,3,Gd,7,1,Attchd,1998.0,RFn,2,592,208,75,6,2006,WD,Normal,280000
364,160,RM,21.0,1680,Reg,Inside,BrDale,Twnhs,2Story,6,8,1972,2007,Gable,HdBoard,HdBoard,BrkFace,510.0,TA,TA,CBlock,TA,No,ALQ,162,321,483,Gd,483,504,987,0,1,1,2,Gd,5,0,Detchd,1972.0,Unf,1,264,250,0,5,2009,WD,Normal,118000
366,70,RM,59.0,10690,Reg,Inside,IDOTRR,1Fam,2Story,5,7,1920,1997,Hip,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,No,Rec,456,216,672,Gd,672,672,1344,0,1,0,3,TA,6,0,Detchd,1964.0,Unf,1,468,0,128,7,2009,WD,Normal,147000
368,80,RL,101.0,9150,IR1,Corner,NAmes,1Fam,SLvl,6,5,1962,1962,Gable,Plywood,Plywood,BrkFace,305.0,TA,TA,CBlock,Gd,Gd,GLQ,371,728,1099,Gd,1431,0,1431,0,1,0,3,TA,6,1,Basment,1962.0,RFn,1,296,64,110,12,2008,WD,Normal,165000
369,20,RL,78.0,7800,Reg,Inside,NAmes,1Fam,1Story,5,6,1954,1954,Gable,HdBoard,HdBoard,BrkFace,200.0,TA,TA,PConc,TA,No,LwQ,540,728,1268,Gd,1268,0,1268,0,1,0,2,TA,7,1,Attchd,1954.0,Fin,1,244,0,98,3,2010,WD,Normal,132000
373,120,RL,50.0,7175,Reg,Inside,SawyerW,TwnhsE,1Story,6,5,1984,1984,Gable,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,No,ALQ,623,0,744,TA,752,0,752,1,1,0,2,TA,4,0,Attchd,1984.0,Unf,1,264,353,0,2,2010,WD,Normal,125000
374,20,RL,79.0,10634,Reg,Inside,NAmes,1Fam,1Story,5,6,1953,1953,Gable,MetalSd,MetalSd,None,0.0,TA,TA,PConc,TA,No,BLQ,428,0,608,TA,1319,0,1319,1,1,0,3,TA,5,0,Attchd,1953.0,Unf,1,270,66,0,11,2009,WD,Normal,123000
375,60,RL,65.0,8200,Reg,Inside,CollgCr,1Fam,2Story,7,5,2003,2004,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,No,Unf,0,847,847,Ex,847,1081,1928,0,2,1,4,Gd,8,1,BuiltIn,2003.0,Fin,2,434,100,48,7,2007,WD,Normal,219500
377,85,RL,57.0,8846,IR1,CulDSac,CollgCr,1Fam,SFoyer,5,5,1996,1996,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Av,GLQ,298,572,870,Ex,914,0,914,0,1,0,2,TA,5,0,Detchd,1998.0,Unf,2,576,0,0,7,2006,WD,Normal,148000
378,60,FV,102.0,11143,IR1,Corner,Somerst,1Fam,2Story,8,5,2004,2005,Gable,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,No,Unf,0,1580,1580,Ex,1580,886,2466,0,3,0,4,Gd,8,1,Attchd,2004.0,RFn,2,610,159,214,12,2007,WD,Normal,340000
379,20,RL,88.0,11394,Reg,Corner,StoneBr,1Fam,1Story,9,2,2010,2010,Hip,VinylSd,VinylSd,Stone,350.0,Gd,TA,PConc,Ex,Av,GLQ,1445,411,1856,Ex,1856,0,1856,1,1,1,1,Ex,8,1,Attchd,2010.0,Fin,3,834,113,0,6,2010,New,Partial,394432
380,60,RL,60.0,8123,IR1,Inside,Gilbert,1Fam,2Story,6,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,16.0,TA,TA,PConc,Gd,No,Unf,0,982,982,Ex,1007,793,1800,0,2,1,3,TA,7,1,Attchd,2000.0,Fin,2,463,100,63,6,2009,WD,Normal,179000
381,50,RL,50.0,5000,Reg,Inside,SWISU,1Fam,1.5Fin,5,6,1924,1950,Gable,BrkFace,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,No,LwQ,218,808,1026,TA,1026,665,1691,0,2,0,3,Gd,6,1,Detchd,1924.0,Unf,1,308,0,0,5,2010,WD,Normal,127000
382,20,FV,60.0,7200,Reg,Inside,Somerst,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,No,Unf,0,1293,1293,Ex,1301,0,1301,1,2,0,2,Gd,5,1,Attchd,2006.0,RFn,2,572,216,121,8,2006,New,Partial,187750
383,60,RL,79.0,9245,IR1,Inside,CollgCr,1Fam,2Story,7,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Av,Unf,0,939,939,Ex,939,858,1797,0,2,1,3,Gd,8,0,Attchd,2006.0,RFn,2,639,144,53,4,2007,WD,Normal,213500
384,45,RH,60.0,9000,Reg,Corner,SawyerW,1Fam,1.5Unf,6,3,1928,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Fa,No,Unf,0,784,784,TA,784,0,784,0,1,0,2,TA,5,0,Detchd,1950.0,Unf,2,360,0,0,10,2009,WD,Normal,76000
386,120,RL,43.0,3182,Reg,Inside,Blmngtn,TwnhsE,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,No,GLQ,24,1232,1256,Ex,1269,0,1269,0,2,0,2,Gd,6,1,Attchd,2004.0,Fin,2,430,146,20,4,2010,WD,Normal,192000
388,80,RL,72.0,7200,Reg,Inside,Edwards,1Fam,SLvl,6,6,1976,1976,Hip,MetalSd,MetalSd,BrkFace,255.0,TA,TA,CBlock,TA,Av,ALQ,631,410,1041,Ex,1125,0,1125,1,1,0,3,TA,6,1,Detchd,1977.0,Unf,1,352,296,0,10,2009,WD,Abnorml,125000
389,20,RL,93.0,9382,IR1,CulDSac,CollgCr,1Fam,1Story,7,5,1999,2000,Gable,VinylSd,VinylSd,BrkFace,125.0,Gd,TA,PConc,Gd,No,Unf,0,1468,1468,Ex,1479,0,1479,0,2,0,3,Gd,6,0,Attchd,1999.0,RFn,2,577,120,25,7,2008,WD,Normal,191000
390,60,RL,96.0,12474,Reg,Inside,NridgHt,1Fam,2Story,10,5,2007,2008,Gable,VinylSd,VinylSd,Stone,272.0,Ex,TA,PConc,Ex,Av,GLQ,1280,402,1682,Ex,1742,590,2332,1,2,1,3,Ex,9,1,BuiltIn,2008.0,Fin,3,846,196,134,8,2008,New,Partial,426000
391,50,RL,50.0,8405,Reg,Inside,Edwards,1Fam,1.5Fin,5,8,1900,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,Rec,241,229,861,Ex,961,406,1367,1,1,0,4,TA,7,0,Detchd,1978.0,Unf,1,384,0,130,4,2008,WD,Normal,119000
392,60,RL,71.0,12209,IR1,CulDSac,Mitchel,1Fam,2Story,6,5,2001,2002,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,No,ALQ,690,114,804,Ex,804,1157,1961,1,2,1,3,Gd,7,1,BuiltIn,2001.0,Fin,2,560,125,192,6,2009,WD,Normal,215000
395,50,RL,60.0,10134,Reg,Inside,OldTown,1Fam,1.5Fin,5,6,1940,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,No,Unf,0,735,735,Gd,735,299,1034,0,1,0,2,TA,5,0,Detchd,1940.0,Unf,1,240,0,39,7,2007,WD,Normal,109000
396,20,RL,68.0,9571,Reg,Inside,Edwards,1Fam,1Story,5,6,1956,1956,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,Av,BLQ,739,405,1144,TA,1144,0,1144,1,1,0,3,TA,6,0,Attchd,1956.0,Unf,1,596,44,0,6,2010,WD,Normal,129000
397,20,RL,60.0,7200,Reg,Inside,CollgCr,1Fam,1Story,5,5,1972,1972,Hip,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,Av,Rec,777,117,894,TA,894,0,894,0,1,0,2,TA,6,0,Detchd,1985.0,RFn,2,600,215,0,9,2009,WD,Normal,123000
398,60,RL,69.0,7590,Reg,Inside,NAmes,1Fam,2Story,5,5,1962,1962,Gable,VinylSd,VinylSd,BrkFace,288.0,TA,TA,CBlock,TA,No,ALQ,540,324,864,TA,876,936,1812,0,2,0,4,TA,8,1,Attchd,1962.0,RFn,1,264,0,168,7,2007,WD,Normal,169500
399,30,RM,60.0,8967,Reg,Corner,IDOTRR,1Fam,1Story,5,2,1920,1950,Gable,MetalSd,MetalSd,None,0.0,TA,Fa,BrkTil,Fa,No,Unf,0,961,961,Gd,1077,0,1077,0,1,0,2,TA,6,0,Detchd,1920.0,Unf,1,338,0,0,11,2007,WD,Abnorml,67000
400,60,FV,65.0,8125,Reg,Inside,Somerst,1Fam,2Story,7,5,2006,2007,Gable,CemntBd,CmentBd,Stone,100.0,Gd,TA,PConc,Gd,No,GLQ,812,280,1092,Ex,1112,438,1550,1,2,0,2,Gd,7,0,Attchd,2007.0,Fin,2,438,0,168,10,2009,WD,Normal,241000
401,120,RL,38.0,14963,IR2,Inside,Veenker,TwnhsE,1Story,8,5,1996,1996,Gable,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,No,GLQ,786,474,1260,Ex,1288,0,1288,1,1,1,1,Ex,4,2,Attchd,1996.0,Fin,2,500,120,30,12,2008,WD,Normal,245500
402,20,RL,65.0,8767,IR1,Inside,CollgCr,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Av,GLQ,24,1286,1310,Ex,1310,0,1310,0,2,0,3,Gd,6,1,Attchd,2005.0,Fin,2,400,0,0,7,2006,New,Partial,164990
403,30,RL,60.0,10200,Reg,Inside,Sawyer,1Fam,1Story,5,8,1940,1997,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,No,Unf,0,672,672,Ex,672,0,672,0,1,0,2,TA,4,0,Detchd,1940.0,Unf,1,240,168,0,8,2008,WD,Normal,108000
404,60,RL,93.0,12090,Reg,Corner,NoRidge,1Fam,2Story,8,5,1998,1998,Hip,VinylSd,VinylSd,BrkFace,650.0,Gd,TA,PConc,Gd,No,Unf,0,1141,1141,Gd,1165,1098,2263,0,2,1,4,Gd,10,1,BuiltIn,1998.0,Fin,2,420,144,123,7,2006,WD,Abnorml,258000
407,50,RL,51.0,10480,Reg,Inside,SWISU,1Fam,1.5Fin,6,5,1936,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,1064,1064,Ex,1166,0,1639,0,1,0,3,TA,6,0,Detchd,1936.0,Unf,1,240,0,0,3,2008,WD,Normal,115000
408,70,RL,63.0,15576,Reg,Inside,Crawfor,1Fam,2Story,6,7,1915,1976,Gable,Wd Sdng,Plywood,None,0.0,TA,TA,BrkTil,Gd,No,Unf,0,840,840,Ex,840,840,1680,0,2,0,4,TA,8,0,Attchd,1960.0,Unf,1,308,0,0,3,2008,WD,Normal,177000
409,60,RL,109.0,14154,Reg,Corner,NridgHt,1Fam,2Story,7,5,2006,2006,Gable,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Ex,No,Unf,0,1063,1063,Ex,1071,1101,2172,0,2,1,3,Gd,9,1,Attchd,2006.0,RFn,3,947,192,62,8,2007,New,Partial,280000
410,60,FV,85.0,10800,Reg,Inside,Somerst,1Fam,2Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,100.0,Gd,TA,PConc,Ex,No,GLQ,789,245,1034,Ex,1050,1028,2078,1,2,1,3,Ex,8,1,Attchd,2008.0,Fin,3,836,0,102,4,2008,New,Partial,339750
411,20,RL,68.0,9571,Reg,Inside,Edwards,1Fam,1Story,5,3,1958,1958,Gable,BrkComm,Brk Cmn,None,0.0,TA,Fa,CBlock,TA,No,Unf,0,1276,1276,TA,1276,0,1276,0,1,0,3,TA,5,0,Attchd,1958.0,Unf,1,350,0,0,6,2009,COD,Abnorml,60000
412,190,RL,100.0,34650,Reg,Inside,Gilbert,2fmCon,1Story,5,5,1955,1955,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,Mn,Rec,1056,0,1056,TA,1056,0,1056,1,1,0,3,TA,5,0,Attchd,1955.0,Fin,2,572,264,0,1,2006,WD,Normal,145000
414,30,RM,56.0,8960,Reg,Inside,OldTown,1Fam,1Story,5,6,1927,1950,Gable,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,No,Unf,0,1008,1008,Gd,1028,0,1028,0,1,0,2,TA,5,1,Detchd,1927.0,Unf,2,360,0,0,3,2010,WD,Normal,115000
415,60,RL,59.0,11228,IR2,CulDSac,SawyerW,1Fam,2Story,7,5,1993,1993,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,No,BLQ,50,499,1080,Ex,1080,1017,2097,0,2,1,3,Gd,9,1,Attchd,1993.0,Unf,3,678,196,187,12,2008,WD,Normal,228000
416,20,RL,73.0,8899,IR1,Inside,Gilbert,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Av,GLQ,24,1316,1340,Ex,1340,0,1340,0,2,0,3,Gd,6,0,Attchd,2007.0,Fin,2,396,100,30,8,2007,New,Partial,181134
417,60,RL,74.0,7844,Reg,Inside,Sawyer,1Fam,2Story,6,7,1978,1978,Hip,HdBoard,HdBoard,BrkFace,203.0,TA,TA,CBlock,TA,No,ALQ,209,463,672,TA,672,728,1400,0,1,1,3,TA,6,1,Attchd,1978.0,Fin,2,440,0,0,3,2006,WD,Normal,149500
